open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1.6988E+12,34651.4,34684,34584.3,34604.6,4538.289,1.6988E+12,157149942.5,55855,1750.817,60637143.19,0
1.6988E+12,34604.7,34660,34513.8,34562.7,3329.547,1.6988E+12,115141049.7,48246,1351.518,46741588.31,0
1.6988E+12,34562.9,34618.1,34520.7,34524.2,2315.966,1.6988E+12,80069497.35,37356,926.314,32024262.36,0
1.6988E+12,34524.2,34570,34506.7,34522.3,1523.606,1.6988E+12,52612456.93,21790,571.258,19729506.55,0
1.6988E+12,34522.3,34545.5,34475.3,34535.8,1844.946,1.6988E+12,63674594.96,27420,778.522,26871626.82,0
1.6988E+12,34535.7,34567.6,34508.2,34564.3,1306.962,1.6988E+12,45149782.15,18761,921.13,31822264.33,0
1.6988E+12,34564.3,34575,34493.8,34516.1,1053.066,1.6988E+12,36370611.38,16035,490.483,16942233.91,0
1.6988E+12,34516,34532.8,34486.4,34507,1048.861,1.6988E+12,36194356.57,13174,549.969,18977448.77,0
1.6988E+12,34507,34507.1,34434.5,34503.2,2003.431,1.6988E+12,69065761.33,24323,713.455,24597838.27,0
1.6988E+12,34503.3,34510.2,34468,34486.3,730.987,1.69881E+12,25208999.03,9349,314.805,10856278.05,0
1.69881E+12,34486.4,34512,34481.1,34481.9,857.816,1.69881E+12,29592459.63,11736,442.609,15269360.53,0
1.69881E+12,34482,34497,34458,34466.2,632.495,1.69881E+12,21805151.58,11841,259.158,8934317.807,0
1.69881E+12,34466.2,34482.4,34446.5,34466.6,789.881,1.69881E+12,27223134.73,11758,377.848,13023331.85,0
1.69881E+12,34466.7,34474.5,34417.7,34439.1,1673.859,1.69881E+12,57665520.32,16262,549.886,18943345.22,0
1.69881E+12,34439.1,34454,34406.4,34440.3,1405.953,1.69881E+12,48405699.24,19166,580.815,19999272.89,0
1.69881E+12,34440.3,34458,34418.5,34430,926.341,1.69881E+12,31899567.23,12934,460.103,15844898.23,0
1.69881E+12,34429.9,34436.1,34400,34432.1,1321.895,1.69881E+12,45492892.74,18293,660.863,22744258.35,0
1.69881E+12,34432.1,34469.6,34432,34460.2,992.705,1.69881E+12,34202992.85,12488,657.632,22658111.65,0
1.69881E+12,34460.2,34484,34458.4,34478.5,1018.828,1.69881E+12,35123905.67,13579,666.137,22964757.9,0
1.69881E+12,34478.5,34480.5,34426.9,34456.6,814.297,1.69881E+12,28057230.13,12857,393.853,13571107.49,0
1.69881E+12,34456.6,34459.9,34407.3,34411,958.8,1.69882E+12,33009459.99,17134,479.257,16499584.21,0
1.69882E+12,34411.1,34455,34400,34445.3,1342.389,1.69882E+12,46206298.35,16837,804.168,27681034.03,0
